"county_name","confirmed_cases","deaths","median_age","median_income","total_pop","date_of_first_case","rate_of_growth_first_30_days","rate_of_growth_30_60_days","rate_of_growth_60_90_days","rate_of_growth_90_120_days","rate_of_growth_120_150_days","rate_of_growth_150_180_days","infection_rate","death_rate"
"anderson county",5575,75,39.1,42313,57747,2020-04-01,14.1775008485732,3.18368803194928,30.2765376673435,2.72969877078575,0.466665435043438,0.419009108505991,0.0965418116958457,0.0134529147982063
"andrews county",1606,37,31.6,70753,17577,2020-04-04,22.4313073496377,0.871839513143861,4.19568912000484,3.66700552654481,1.23823624541457,0.493017028090976,0.0913694031973602,0.023038605230386
"angelina county",6765,193,36.8,46472,87700,2020-03-26,14.6319750917891,6.07878651069381,3.01193792605659,3.83311738086972,1.57391478334844,0.264082930814068,0.0771379703534778,0.0285291943828529
"aransas county",895,26,49.6,44601,24832,2020-04-05,3.44827586206896,3.61111111111111,6.7827660049527,5.59665702952006,1.10078851161498,1.58324081149078,0.0360422036082474,0.0290502793296089
"archer county",694,10,44.8,63192,8793,2020-05-15,5.17241379310345,4.47619047619048,3.73244910499812,2.99936852722163,1.32283076135342,2.12375758255367,0.0789264187421813,0.0144092219020173
"armstrong county",128,6,45.9,68750,1929,2020-04-14,3.44827586206896,0,1.66666666666667,3.75396825396825,1.12037037037037,1.53807303807304,0.0663556246759979,0.046875
"atascosa county",3781,90,35.4,55194,48139,2020-03-25,7.68609742747674,3.23558739019265,2.54703275043122,6.07397379508707,1.10989315754842,0.590382059583161,0.07854338478157,0.0238032266596139
"austin county",1404,18,40.9,62614,29292,2020-03-25,11.0359755187341,1.93710095374182,2.85079785004977,4.35653498562322,2.65467506378114,0.918599501020102,0.0479311757476444,0.0128205128205128
"bailey county",742,15,35.2,43523,7098,2020-05-05,13.1253018448759,6.36712500845846,1.48720176387978,0.8292954473267,0.377055369572944,1.07973893331918,0.104536489151874,0.0202156334231806
"bandera county",820,20,52,56413,21316,2020-04-09,8.04597701149426,0,5.78174422196161,4.22375361042164,0.682900223032067,1.77449837069604,0.0384687558641396,0.024390243902439
"bastrop county",4373,57,38.8,59185,80306,2020-03-25,17.1466589612721,4.09641545039993,2.52258405165563,3.70137661252914,1.21655011519687,0.561339195714635,0.0544542126366648,0.0130345300708896
"bee county",3082,53,35.2,45415,32729,2020-04-08,8.16091954022989,5.01406926406926,4.75689788873795,7.57821915020695,3.34643881861271,0.0593485980944496,0.0941672522839072,0.0171966255678131
